transaction_id,product_id,quantity,total_transacion_amount,transaction_date
ad4a23f4-fbbe-4805-9ba2-fa4cdbfa5f1f,100,587,6877,1997-04-01
8413f3d4-c91f-4805-934b-4077a6a63982,101,832,5440,1933-03-05
a8d9c2cd-0351-4a3d-a579-10f2c9f6cb73,102,79,6096,1969-10-23
ea30c684-7584-43b0-892c-c949c70f74e9,103,837,854,1981-11-01
902e8576-771e-4270-b8bf-51fe0c477747,104,123,413,2016-11-23
54526664-780c-485a-913d-33f5dfd98588,105,869,5054,1908-12-03
2737f187-230d-4efa-85d1-1cdc0c278367,106,686,4166,1971-02-16
48c5f032-e1c8-49c5-9458-34d4aba7a80d,107,245,271,1917-08-09
b6afdaca-89a3-4a4c-bbf7-af8a8c80d010,108,652,765,1943-05-24
fad9add0-149a-41ce-b888-7ee386d2def5,109,487,6818,2003-11-25
