transaction_id,product_id,quantity,total_transacion_amount,transaction_date
0ab5dc66-85b7-4850-aa00-a5e4fdb8e1be,100,198,7397,1988-05-03
233cfa5a-6cc4-48a9-9546-bc2342c273a3,101,562,1095,2014-11-03
9a53cb1a-b120-4875-a770-ca2e44831a71,102,36,6915,1962-09-28
c2b53931-8899-4b1f-a0d9-4881563b0ce9,103,265,7248,1911-02-05
86365d5e-db12-4d23-8a2d-b65885ea3361,104,178,3985,1932-08-03
91927dfc-cabf-4439-b93a-4a8028f72866,105,866,70,1900-03-05
f2fe5517-25ab-4b90-bf0b-d2e749cf36ef,106,452,4037,2007-09-29
01eb07c4-5e15-45c0-a432-9ec5e58db115,107,574,4441,1915-03-13
19d7f914-1c0e-4541-974b-744d240dd05e,108,242,7807,2002-07-23
114a8f67-3c91-4247-99ac-0ac95224e20e,109,46,3585,1969-05-28
