transaction_id,product_id,quantity,total_transacion_amount,transaction_date
8f8aaec2-c027-405f-892e-7521f8811ee0,100,671,7593,1923-11-27
01f2f5b4-8850-419e-b309-769fae8bea2e,101,974,8715,1941-11-12
30dfeb67-1d8e-4928-8c43-47570e2addf7,102,260,7650,1983-12-21
1e693200-af04-4ae1-ad32-1a96104426d2,103,350,3751,1956-07-31
0b742799-0f6c-4b87-a853-dbd9a01351e4,104,515,5739,1980-10-11
6b605041-0b91-47a2-ba29-b0a9ab6a4a22,105,866,5504,1943-05-31
dfe8ecff-785e-44ed-8e23-a89a44f27828,106,839,3028,1926-12-10
4ff46a83-a2ed-4a64-9f79-aeff07a6f4c8,107,42,3522,1938-08-04
72224bc7-e6ba-48b0-b082-51709b9c7a4b,108,493,2951,1945-07-12
8ddbc4c6-60b9-43c0-99c4-84e86fd94bd9,109,497,9814,1930-05-05
