transaction_id,product_id,quantity,total_transacion_amount,transaction_date
4060cdb0-7a7c-4b05-b96d-27f8fc677678,100,405,2964,1916-11-08
aaefd8ca-556b-437b-b7f0-f9493467fb18,101,719,2455,1920-11-14
aa911aa4-8634-4e7a-9830-8aa97fe396a1,102,840,6259,1932-03-04
8f2230aa-c3be-47ab-a47c-b3dc38284ba5,103,117,7603,1964-05-24
4298e431-3849-4a72-a3da-93c038df554a,104,986,4057,1994-11-19
5c44756d-7bc5-4b0c-801f-e50162f8358b,105,715,4409,1922-12-13
32579aa7-3891-48d5-9aa4-75d049514ec1,106,124,6534,2008-08-28
5d384f97-78ff-414a-bb85-a89546bc249b,107,535,7002,1988-06-13
eac0f496-2d68-4a61-9d2d-68ea3110c2ec,108,76,511,1901-10-04
ed03847a-3de0-4eb9-a5e9-3a4fd4c66906,109,212,3363,1929-09-07
