transaction_id,product_id,quantity,total_transacion_amount,transaction_date
2963754d-b622-4f6c-ab1f-bf0946d31fc7,100,453,2871,1967-07-25
693cdb0a-1f24-48fa-baf5-0cb84ec20bb3,101,769,6953,1938-06-25
6af0e9f7-166e-4e7d-8c7f-5d21a3db51c1,102,209,9565,1998-02-06
039426b7-0333-44d4-96da-8952a96d7bd5,103,51,483,1953-11-27
c436ea43-da05-4a12-a089-5cc791768889,104,335,4954,1956-01-12
c14a0d2a-2885-48a6-9b20-8d9ac71d829b,105,542,586,1982-02-04
df987b06-9b2a-4cd1-b18e-c862ac414651,106,314,726,1991-07-05
e2335fd8-9948-4e32-aa18-5c6e5a512152,107,719,6293,1996-10-08
91d462ee-33e0-4ace-b003-fdd9686229f0,108,257,6047,1956-07-05
65c8adff-efcf-49fa-a9f5-079a77fc3fb8,109,974,4143,1986-12-03
