transaction_id,product_id,quantity,total_transacion_amount,transaction_date
455f700b-fcb6-408a-9815-dcd931c9d1a5,100,847,265,1911-04-05
1e8e7ab2-8386-4e9d-9f86-a3f01cd99c52,101,129,3852,1939-05-15
5034dd59-5364-4b53-9d89-beef89ad70a8,102,93,4466,1998-08-25
4d3835cf-c983-4080-a4ef-b9d6564257e9,103,629,1855,2009-10-20
c5a0edca-ed42-4f57-884a-039d318392ac,104,430,2019,1914-06-28
12c8e5db-5574-40bd-a7f1-acdd05d099ac,105,228,9477,1951-11-13
e9e6026d-ee56-4464-a521-6dab7fa8fd99,106,265,4752,1967-10-06
3b8994f2-d602-49f2-826b-08810c513b65,107,183,7158,1962-11-01
544e1cb8-137f-496b-829d-a33c5947d5e0,108,385,5988,1900-03-17
fc0e20df-6ac1-420f-8083-cfba144af786,109,685,9006,1928-02-06
