transaction_id,product_id,quantity,total_transacion_amount,transaction_date
5392370e-f578-4195-b441-a407777611f3,100,12,8374,1955-08-04
fce9e3ad-6438-4380-9cd7-95b6665dd00e,101,221,8099,1981-03-05
73abc082-cf77-440e-b924-4855f6a53dc4,102,334,6113,2014-05-01
bd96ce9c-874c-461f-9d25-2a4af81c7d1c,103,998,8886,1950-03-17
c58194d0-19e6-463e-9ac0-34cd8e6abf15,104,615,4842,1930-11-07
2b86f216-db8a-44df-b0d3-77a87169abed,105,27,4189,1932-12-20
37cee1f0-364c-4f16-ac63-2f74e44f65ad,106,707,8194,1944-07-16
e1535180-8bbe-4feb-b54e-bcfa869312e2,107,51,8613,2015-01-28
1b25cf58-6195-469e-8a5f-60067b8d557f,108,863,1478,1948-03-10
abe4a32b-e61f-4805-a973-ffac57fbc655,109,346,5032,1914-05-09
