transaction_id,product_id,quantity,total_transacion_amount,transaction_date
4175d36b-cac2-4b89-a968-cb66d8cc26a8,100,981,9019,1983-08-20
2593eff9-a12f-449b-8b49-aea408dc105d,101,80,4440,1983-10-14
9349cd6f-5f46-4977-a9e3-3411d4a3ed64,102,927,233,1966-08-23
f5fc0724-a757-4073-b816-eea064bb887c,103,722,2639,1949-04-20
b8a65006-2ad9-4b62-9ab9-d6e5797856c3,104,31,9985,2011-02-10
2a143505-baf1-4c83-aacf-460cd15d57ed,105,852,3102,1951-12-27
3e5a08f1-c35a-4168-a247-c3d5d2c18d2a,106,222,9209,1940-12-05
e953b632-6f38-49ce-9695-4580357232c9,107,777,8305,1974-11-21
ba0c144f-df6b-438a-a8c7-abaf8de09656,108,715,6647,1909-11-29
5a588ae0-0d62-453c-a5b0-f23bb3baf3b9,109,210,5702,1915-08-28
