product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
180,Hollie,Millda,129,225,keRO a,2004-01-12
181,Nannie,Ingra,900,67,LdQ,1954-06-13
182,Emmey,Dulciana,787,590,DEXdw,1973-04-02
183,Deirdre,Hanleigh,188,541,Hhb,1936-09-16
184,Gaylene,Arathorn,286,452,mBttoYKJ,1994-12-15
185,Harmonia,Hamil,548,540,PDsf,1906-11-24
186,Anestassia,Demitria,742,293,poU,2010-04-10
187,Neila,Klemperer,684,216,FMxRML,2010-02-23
188,Steffane,Roscoe,551,915,TRd,1986-07-03
189,Chloris,Hebner,512,16,jlDqE,2005-05-24
