product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
120,Katuscha,Ramona,513,843,jeZT,2008-04-30
121,Sallie,Roche,233,631,JGjfeM,1997-10-07
122,Ira,Tamsky,247,111," ANDpl",1902-07-14
123,Miquela,Iphlgenia,387,445,iN,2012-02-21
124,Leia,Saunderson,306,169,mi,1916-05-16
125,Noelle,Zenas,28,387,egRNw,1921-09-06
126,Marcelline,Blake,545,241,wfkMLDlI,1940-02-27
127,Morganica,Wallis,421,254,iOOfZby,1902-02-08
128,Almeta,Viddah,26,526,Bo,1972-06-15
129,Sandie,Adrienne,201,865,KJzz,1906-02-08
