product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
100,Sindee,Lenny,337,948,OdqICUs,1956-03-09
101,Mamie,Raimondo,916,816,aRq,1922-07-23
102,Verla,Emmy,825,723,Nq,2013-05-27
103,Winny,Moseley,163,862,muXFq,2005-02-03
104,Ursulina,Joeann,411,887,GJSHbgy,2001-11-17
105,Fanny,Atonsah,314,445,VXLbHaO,1981-08-27
106,Arlina,Rosette,4,199,ig,1927-06-24
107,Vivia,Ailyn,254,114,zmPTvOx,1905-11-06
108,Elbertina,Even,130,755,zilijtTg,1931-06-23
109,Fidelia,Strephon,351,7,lmVs,2019-03-13
