product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
150,Dode,Forrer,927,444,iqtmAH,1997-04-19
151,Lucy,Liva,585,39,tcvJ,1933-07-21
152,Dominga,Lareena,103,555,yR axy,1938-09-09
153,Nelle,Raffo,859,514,PevSpV,1925-11-29
154,Correy,Poll,390,977,lI,1951-03-09
155,Lila,Jillane,935,216,JCEqfeUE,1958-08-10
156,Elora,Silvan,567,824,lntqlyA,1985-05-06
157,Mignon,Kare,48,770,jLn,1936-03-30
158,Lonnie,Christine,121,754,JUAWy,1974-02-08
159,Meghann,Tomasina,361,844,"p ",1939-05-05
