product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
130,Berget,Hirsch,445,479,JVWeRDbK,1965-04-13
131,Adore,Santoro,655,628,UVM,1955-02-04
132,Dari,Belanger,768,298,d oVZ,1949-03-26
133,Sarette,Cassius,509,931,HxaG,1924-07-28
134,Orsola,Lamoree,844,442,kYv,1986-02-12
135,Cecile,Zaslow,316,63,ST,2001-05-26
136,Shell,Eliathas,760,269,VksdTkz,1960-12-26
137,Latisha,Blake,668,898,icEl,1947-03-06
138,Pierette,Cecile,580,940,OQsGVuz,1930-02-21
139,Nessie,Faro,808,402,vFXcTN,1902-09-18
