product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
170,Brandise,Gunn,907,228,rXkvpn,2019-06-20
171,Celisse,Larochelle,104,263,dIj,1978-07-08
172,Vanessa,Edmund,25,136,uSBMnRcX,1913-12-06
173,Lisette,Latini,396,137,VQsndSo,1976-10-01
174,Darci,Clarissa,433,241,yWc,1981-09-04
175,Daphne,Peti,60,946,DKB,1925-01-04
176,Sam,Andrel,820,997,UcKuR,1919-07-13
177,Drucie,Pond,984,854,nlemHfM,1977-10-04
178,Rhoda,Gerge,92,852,IVd,1944-11-14
179,Rosanne,Alice,576,779,RUBxM,1973-08-09
