product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
110,Nelle,Joeann,299,41,WJI,1906-02-23
111,Sharlene,Grayce,515,49,KQw,1973-02-16
112,Shaine,Morgun,298,890,SqURoi,1910-01-18
113,Madalyn,Burch,149,791,dyz,1908-08-04
114,Grier,Niccolo,435,615,By,1967-12-08
115,Valeda,Munn,937,759,ljNJZUN,1903-03-07
116,Bernardine,Brotherson,906,902,ehPx,2007-12-09
117,Livvyy,Delila,395,150,OeAkKD,1924-10-14
118,Ginnie,Hortensia,519,618,PY,1980-12-01
119,Carmela,Vernier,383,659,qn,1992-01-11
