product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
190,Dorothy,Wyn,436,288,mnNoNHcY,1946-04-08
191,Micheline,Doig,801,23,oSE,1992-09-25
192,Yvonne,Zetta,907,278,OWket,1937-02-26
193,Cam,Margret,868,165,dHirYbI,1943-05-26
194,Frances,Read,11,327,INX,1900-06-20
195,Charissa,Gillan,620,935,US,1913-10-24
196,Gisela,Niccolo,427,730,YwWs,1943-01-04
197,Kylynn,Yam,510,108,IWFwtBZ,1987-12-02
198,Kayla,Dorothy,499,109,Exg,1950-01-23
199,Blinni,Wyn,552,807,kKlacmkJ,1956-07-19
