product_id,product_name,brand_name,cost_price,selling_price,category,expiry_date
140,Kimberley,Hailee,108,816,LZaeknx,2011-07-05
141,Randa,Cressida,699,993,ef EGc,1949-06-30
142,Rozele,Markman,997,194,FHJZ,2009-10-01
143,Rosene,Strephon,166,697,QiFOyKm,1995-08-30
144,Clo,Israeli,744,730,dS,1907-08-11
145,Riannon,Fillbert,213,69,HvMaRT,1986-04-26
146,Latisha,Bonilla,224,952,swKZNJM,1935-01-20
147,Sabina,Manolo,243,688,ciRbteUb,1929-05-16
148,Lexine,Ammann,308,265," pcEIUfp",1994-09-09
149,Hyacinthe,Delila,768,384,LAn,2007-08-20
